Subject	Method	Place	Time
0	-1	1	3.06301498413086
1	-1	1	3.31951141357422
2	-1	1	2.04701232910156
3	-1	1	1.84699249267578
4	-1	1	1.86181640625
0	-1	3	1.17643737792969
1	-1	3	3.83837890625
2	-1	3	3.27680969238281
3	-1	3	3.90650939941406
4	-1	3	2.92807006835938
0	-1	2	2.54707336425781
1	-1	2	2.79293823242188
2	-1	2	2.39019775390625
3	-1	2	2.73619079589844
4	-1	2	2.30555725097656
0	-1	0	2.387939453125
1	-1	0	2.66705322265625
2	-1	0	2.7911376953125
3	-1	0	2.66690063476563
4	-1	0	2.63638305664063
0	0	3	3.578125
1	0	3	4.75503158569336
2	0	3	3.88962554931641
3	0	3	16.1515045166016
4	0	3	9.52789306640625
0	0	2	6.12298583984375
1	0	2	5.77305603027344
2	0	2	4.56002807617188
3	0	2	3.70602416992188
4	0	2	4.79071044921875
0	0	0	4.84162902832031
1	0	0	7.7218017578125
2	0	0	4.63661193847656
3	0	0	3.42236328125
4	0	0	2.955078125
0	0	1	0.758392333984375
1	0	1	11.4013977050781
2	0	1	5.6871337890625
3	0	1	5.2332763671875
4	0	1	5.72396850585938
0	1	1	5.57741165161133
1	1	1	3.11219787597656
2	1	1	5.94415283203125
3	1	1	3.86313629150391
4	1	1	6.2362060546875
0	1	0	2.60990905761719
1	1	0	3.44294738769531
2	1	0	5.56048583984375
3	1	0	3.35490417480469
4	1	0	4.38874816894531
0	1	2	2.48580932617188
1	1	2	4.11224365234375
2	1	2	4.72598266601563
3	1	2	7.9228515625
4	1	2	9.43572998046875
0	1	3	6.98074340820313
1	1	3	26.2049255371094
2	1	3	10.7674255371094
3	1	3	7.77200317382813
4	1	3	19.1802368164063
0	2	0	2.54488372802734
1	2	0	4.29499816894531
2	2	0	3.04102325439453
3	2	0	2.92527770996094
4	2	0	3.04010772705078
0	2	3	2.71408081054688
1	2	3	8.91047668457031
2	2	3	3.75079345703125
3	2	3	3.56971740722656
4	2	3	5.083984375
0	2	2	7.14479064941406
1	2	2	5.78302001953125
2	2	2	5.0780029296875
3	2	2	4.80445861816406
4	2	2	4.5970458984375
0	2	1	3.11209106445313
1	2	1	2.9814453125
2	2	1	3.11376953125
3	2	1	4.09164428710938
4	2	1	3.57504272460938
0	3	1	5.20053100585938
1	3	1	3.27496719360352
2	3	1	3.12355804443359
3	3	1	2.93595123291016
4	3	1	2.92641448974609
0	3	0	2.99150848388672
1	3	0	2.79199981689453
2	3	0	2.93667602539063
3	3	0	3.34768676757813
4	3	0	3.16191101074219
0	3	2	5.12478637695313
1	3	2	3.11160278320313
2	3	2	4.22401428222656
3	3	2	4.40789794921875
4	3	2	3.81950378417969
0	3	3	0.367828369140625
1	3	3	3.99954223632813
2	3	3	3.83380126953125
3	3	3	5.42218017578125
4	3	3	3.94570922851563
